Data set;clean
Document Name;Run Font Sizes (pt) frequencies;;;;;Run Font Sizes (pt) frequencies (%);;;;
f997183fa6bf1ef75e31406d98f025c16e527d20;18;22;1714;355;0;0.85;1.04;81.27;16.83;0.0
fsi-2010;0;0;3029;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2019;0;0;35876;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2021;0;0;3056;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2022-download;0;0;57024;0;0;0.0;0.0;100.0;0.0;0.0
FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;0;123;0;95;0;0.0;56.42;0.0;43.58;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;0;0;307;0;0;0.0;0.0;100.0;0.0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;0;66;74;272;0;0.0;16.02;17.96;66.02;0.0
sa-datasets;0;0;48566;0;0;0.0;0.0;100.0;0.0;0.0
TEST_0;2;0;235;0;0;0.84;0.0;99.16;0.0;0.0

Data set;unispace
Document Name;Run Font Sizes (pt) frequencies;;;;;Run Font Sizes (pt) frequencies (%);;;;
;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.
49833f5cf0647c2295e3b3bf11a68ec47a813414;0;18;232;17;0;0.0;6.74;86.89;6.37;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;0;0;66;132;0;0.0;0.0;33.33;66.67;0.0
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;0;593;112;31;0;0.0;80.57;15.22;4.21;0.0
AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;0;64;16;0;0;0.0;80.0;20.0;0.0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;0;0;80;14;0;0.0;0.0;85.11;14.89;0.0
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;0;152;21;2;0;0.0;86.86;12.0;1.14;0.0
f55a8d69c6047f9037f79225c367766987e25f2b;3;19;142;0;0;1.83;11.59;86.59;0.0;0.0
f997183fa6bf1ef75e31406d98f025c16e527d20;18;22;1508;355;0;0.95;1.16;79.24;18.65;0.0
fsi-2010;0;0;2848;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2019;0;0;35700;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2021;0;0;2880;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2022-download;0;0;56848;0;0;0.0;0.0;100.0;0.0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;0;0;112;0;0;0.0;0.0;100.0;0.0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;0;4;39;170;0;0.0;1.88;18.31;79.81;0.0
sa-datasets;0;0;48360;0;0;0.0;0.0;100.0;0.0;0.0
TEST_0;2;0;25;0;0;7.41;0.0;92.59;0.0;0.0

Data set;unicode_homoglyphs
Document Name;Run Font Sizes (pt) frequencies;;;;;Run Font Sizes (pt) frequencies (%);;;;
;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.
49833f5cf0647c2295e3b3bf11a68ec47a813414;0;18;232;17;0;0.0;6.74;86.89;6.37;0.0
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;0;0;66;132;0;0.0;0.0;33.33;66.67;0.0
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;0;593;112;31;0;0.0;80.57;15.22;4.21;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;0;0;80;14;0;0.0;0.0;85.11;14.89;0.0
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;0;152;21;2;0;0.0;86.86;12.0;1.14;0.0
f55a8d69c6047f9037f79225c367766987e25f2b;3;19;142;0;0;1.83;11.59;86.59;0.0;0.0
f997183fa6bf1ef75e31406d98f025c16e527d20;18;22;1508;355;0;0.95;1.16;79.24;18.65;0.0
fsi-2010;0;0;2848;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2019;0;0;35700;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2021;0;0;2880;0;0;0.0;0.0;100.0;0.0;0.0
fsi-2022-download;0;0;56848;0;0;0.0;0.0;100.0;0.0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;0;0;112;0;0;0.0;0.0;100.0;0.0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;0;4;39;170;0;0.0;1.88;18.31;79.81;0.0
sa-datasets;0;0;48360;0;0;0.0;0.0;100.0;0.0;0.0
TEST_0;2;0;25;0;0;7.41;0.0;92.59;0.0;0.0
