Active stego-attack type;01_insert_attack
Total attack time lapse (s);67.51
Total attack time lapse (min);1.07
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);0.18;0.0;0.0;0.18;0.12;0.17

