Active stego-attack type;06_save_as_attack
Total attack time lapse (s);72.38
Total attack time lapse (min);1.12
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (s);0.18;0.0;0.0;0.18;0.17;0.17

