Data set;clean
Document Name;Run RGB colours frequencies;;;Run RGB colours frequencies (%);;
;black;white;other;black;white;other
f55a8d69c6047f9037f79225c367766987e25f2b;129;7;28;78.66;4.27;17.07
f997183fa6bf1ef75e31406d98f025c16e527d20;1089;10;804;57.23;0.53;42.25
fsi-2010;2848;0;0;100.0;0.0;0.0
fsi-2019;35700;0;0;100.0;0.0;0.0
fsi-2021;2880;0;0;100.0;0.0;0.0
fsi-2022-download;56848;0;0;100.0;0.0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;112;0;0;100.0;0.0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;213;0;0;100.0;0.0;0.0
sa-datasets;48360;0;0;100.0;0.0;0.0
TEST_0;27;0;0;100.0;0.0;0.0

Data set;unicode_homoglyphs
Document Name;Run RGB colours frequencies;;;Run RGB colours frequencies (%);;
;black;white;other;black;white;other
49833f5cf0647c2295e3b3bf11a68ec47a813414;238;0;29;89.14;0.0;10.86
65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;198;0;0;100.0;0.0;0.0
AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;736;0;0;100.0;0.0;0.0
CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;94;0;0;100.0;0.0;0.0
DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;175;0;0;100.0;0.0;0.0
f55a8d69c6047f9037f79225c367766987e25f2b;129;7;28;78.66;4.27;17.07
f997183fa6bf1ef75e31406d98f025c16e527d20;1089;10;804;57.23;0.53;42.25
fsi-2010;2848;0;0;100.0;0.0;0.0
fsi-2019;35700;0;0;100.0;0.0;0.0
fsi-2021;2880;0;0;100.0;0.0;0.0
fsi-2022-download;56848;0;0;100.0;0.0;0.0
I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;112;0;0;100.0;0.0;0.0
IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;213;0;0;100.0;0.0;0.0
sa-datasets;48360;0;0;100.0;0.0;0.0
TEST_0;27;0;0;100.0;0.0;0.0
