Active stego-attack type;01_insert_attack
Total attack time lapse (min);1.05
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.2;0.0;0.0;0.17;0.1;0.15


Active stego-attack type;02_delete_attack
Total attack time lapse (min);1.02
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.18;0.0;0.0;0.16;0.11;0.16


Active stego-attack type;03_edit_modify_attack
Total attack time lapse (min);1.01
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.18;0.0;0.0;0.16;0.1;0.15


Active stego-attack type;04_format_attack
Total attack time lapse (min);5.09
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);1.28;0.0;0.0;1.23;0.55;1.21


Active stego-attack type;05_impersonation_attack
Total attack time lapse (min);14.38
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);4.05;0.0;0.0;4.06;2.21;4.05


Active stego-attack type;06_save_as_attack
Total attack time lapse (min);1.1
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.2;0.0;0.0;0.19;0.14;0.16


Active stego-attack type;07_copy_attack
Total attack time lapse (min);0.0
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.0;0.0;0.0;0.0;0.0;0.0


Active stego-attack type;08_retype_attack
Total attack time lapse (min);0.12
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.03;0.0;0.0;0.03;0.02;0.03


Active stego-attack type;09_clear_format_attack
Total attack time lapse (min);1.22
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.23;0.0;0.0;0.22;0.16;0.2


Active stego-attack type;10_document_inspector_attack
Total attack time lapse (min);1.41
Stego-file data set;stego_method_1;stego_method_2;stego_method_3;stego_method_4;stego_method_5;stego_method_6
Attack time for each stego-file data set (min);0.29;0.0;0.0;0.25;0.2;0.24


