Attack type;10_document_inspector_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;0;18;0
Number of such states (%);0.0;100.0;0.0

Attack type;1_insert_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;18;0;0
Number of such states (%);100.0;0.0;0.0

Attack type;2_delete_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;18;0;0
Number of such states (%);100.0;0.0;0.0

Attack type;3_edit_modify_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;18;0;0
Number of such states (%);100.0;0.0;0.0

Attack type;4_format_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;18;0;0
Number of such states (%);100.0;0.0;0.0

Attack type;5_impersonation_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;0;17;1
Number of such states (%);0.0;94.44;5.56

Attack type;6_save_as_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;0;18;0
Number of such states (%);0.0;100.0;0.0

Attack type;7_copy_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;18;0;0
Number of such states (%);100.0;0.0;0.0

Attack type;8_retype_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;18;0;0
Number of such states (%);100.0;0.0;0.0

Attack type;9_clear_format_attack
Number of documents attacked;18
Stego-message state;SAFE;CORRUPTED;MISSING
Number of such states;0;0;18
Number of such states (%);0.0;0.0;100.0

