Data set;Document Index;Document Name;Data set document amount;Document file size (B);Document file size (KB);Document file size (MB);Total Paragraph Count;Total Run Element Count;Total Text Element Count;Run Font Sizes (pt) frequencies;.;.;.;.;Run Font Sizes (pt) frequencies (%);.;.;.;.;Run RGB colours frequencies;.;.;Run RGB colours frequencies (%);.;.;Single non-whitespace char run count;Total run element count;Total run element count percentage;Single Char type frequencies;.;.;.;Single Char type frequencies (single run, %);.;.;.;Single Char type frequencies (total runs, %);.;.;.;Total word count;Total whitespace count;Word to Whitespace ratio (%);Total char count;Total non-ASCII char count;Total char to non-ASCII char ratio (%)
;0;.;.;.;.;.;.;.;.;.+20.;.20-11.;.11.;.10-1.;.1.;.+20.;.20-11.;.11.;.10-1.;.1.;black;white;other;black;white;other;;;;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;uppercase;lowercase;digit;other;.;.;.;.;.;.
;10;fsi-2010;16;44847;43.8;0.04;178;3792;3792;0;0;3556;0;236;0.0;0.0;93.78;0.0;6.22;3556;236;0;93.78;6.22;0.0;253;3792;6.67;112;95;45;1;44.27;37.55;17.79;0.4;2.95;2.51;1.19;0.03;3331;3331;100.0;15827;0;0.0
;11;fsi-2019;16;52967;51.73;0.05;2100;36644;36644;0;0;36408;0;236;0.0;0.0;99.36;0.0;0.64;36408;236;0;99.36;0.64;0.0;236;36644;0.64;112;95;28;1;47.46;40.25;11.86;0.42;0.31;0.26;0.08;0.0;36187;36187;100.0;180081;0;0.0
;12;fsi-2021;16;45231;44.17;0.04;180;3824;3824;0;0;3588;0;236;0.0;0.0;93.83;0.0;6.17;3588;236;0;93.83;6.17;0.0;257;3824;6.72;112;95;49;1;43.58;36.96;19.07;0.39;2.93;2.48;1.28;0.03;3182;3182;100.0;14517;0;0.0
;13;fsi-2022-download;16;58940;57.56;0.06;2992;57792;57792;0;0;57556;0;236;0.0;0.0;99.59;0.0;0.41;57556;236;0;99.59;0.41;0.0;236;57792;0.41;112;95;28;1;47.46;40.25;11.86;0.42;0.19;0.16;0.05;0.0;57329;57329;100.0;286817;1;0.0
;16;I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;40460;39.51;0.04;16;1056;1072;0;0;820;0;236;0.0;0.0;77.65;0.0;22.35;820;236;0;77.65;22.35;0.0;238;1056;22.54;112;96;28;2;47.06;40.34;11.76;0.84;10.61;9.09;2.65;0.19;1253;1280;102.15;7711;0;0.0
;17;IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;16;47177;46.07;0.04;113;1157;1114;0;4;39;878;236;0.0;0.35;3.37;75.89;20.4;921;236;0;79.6;20.4;0.0;294;1157;25.41;116;96;30;52;39.46;32.65;10.2;17.69;10.03;8.3;2.59;4.49;1315;1353;102.89;7128;13;0.18
;20;sa-datasets;16;406321;396.8;0.39;1860;49304;50787;0;0;49068;0;236;0.0;0.0;99.52;0.0;0.48;49068;236;0;99.52;0.48;0.0;248;49304;0.5;112;99;32;5;45.16;39.92;12.9;2.02;0.23;0.2;0.06;0.01;153406;155441;101.33;1340172;604;0.05
;21;TEST_0;16;16785;16.39;0.02;17;971;968;2;0;733;0;236;0.21;0.0;75.49;0.0;24.3;735;236;0;75.7;24.3;0.0;241;971;24.82;112;99;28;2;46.47;41.08;11.62;0.83;11.53;10.2;2.88;0.21;1582;1567;99.05;8347;0;0.0

4_modify_RGB_color_ch;1;49833f5cf0647c2295e3b3bf11a68ec47a813414;18;518685;506.53;0.49;82;469;421;0;18;434;17;0;0.0;3.84;92.54;3.62;0.0;264;0;205;56.29;0.0;43.71;226;469;48.19;18;156;1;51;7.96;69.03;0.44;22.57;3.84;33.26;0.21;10.87;2058;2023;98.3;13494;11;0.08
;2;5F7F36M3NZCHDTIFIVI5JQRBDYNY6KJL;18;38786;37.88;0.04;9;215;215;0;20;0;195;0;0.0;9.3;0.0;90.7;0.0;39;0;176;18.14;0.0;81.86;176;215;81.86;22;146;0;8;12.5;82.95;0.0;4.55;10.23;67.91;0.0;3.72;133;133;100.0;832;0;0.0
;3;65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;18;46171;45.09;0.04;49;404;338;0;0;66;338;0;0.0;0.0;16.34;83.66;0.0;228;0;176;56.44;0.0;43.56;242;404;59.9;17;155;0;70;7.02;64.05;0.0;28.93;4.21;38.37;0.0;17.33;746;831;111.39;5090;15;0.29
;4;AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;18;2624526;2563.01;2.5;313;941;857;0;797;112;32;0;0.0;84.7;11.9;3.4;0.0;765;0;176;81.3;0.0;18.7;230;941;24.44;10;155;24;41;4.35;67.39;10.43;17.83;1.06;16.47;2.55;4.36;5532;5694;102.93;36901;33;0.09
;5;AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;18;41202;40.24;0.04;33;286;270;0;270;16;0;0;0.0;94.41;5.59;0.0;0.0;110;0;176;38.46;0.0;61.54;192;286;67.13;147;13;9;23;76.56;6.77;4.69;11.98;51.4;4.55;3.15;8.04;473;1543;326.22;4016;0;0.0
;6;CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;18;41238;40.27;0.04;77;300;296;0;0;286;14;0;0.0;0.0;95.33;4.67;0.0;124;0;176;41.33;0.0;58.67;183;300;61.0;26;143;4;10;14.21;78.14;2.19;5.46;8.67;47.67;1.33;3.33;725;688;94.9;4376;5;0.11
;7;DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;18;43952;42.92;0.04;55;378;366;0;355;21;2;0;0.0;93.92;5.56;0.53;0.0;202;0;176;53.44;0.0;46.56;188;378;49.74;8;159;0;21;4.26;84.57;0.0;11.17;2.12;42.06;0.0;5.56;1617;1672;103.4;9886;41;0.41
;8;f55a8d69c6047f9037f79225c367766987e25f2b;18;171013;167.0;0.16;37;367;316;3;19;345;0;0;0.82;5.18;94.01;0.0;0.0;156;7;204;42.51;1.91;55.59;240;367;65.4;7;159;0;74;2.92;66.25;0.0;30.83;1.91;43.32;0.0;20.16;734;735;100.14;4683;16;0.34
;9;f997183fa6bf1ef75e31406d98f025c16e527d20;18;10939048;10682.66;10.43;726;2109;1940;18;22;1714;355;0;0.85;1.04;81.27;16.83;0.0;1119;10;980;53.06;0.47;46.47;363;2109;17.21;9;162;10;182;2.48;44.63;2.75;50.14;0.43;7.68;0.47;8.63;10762;11036;102.55;73327;2492;3.4
;10;fsi-2010;18;44220;43.18;0.04;178;3029;3029;0;0;3029;0;0;0.0;0.0;100.0;0.0;0.0;2853;0;176;94.19;0.0;5.81;176;3029;5.81;5;28;107;36;2.84;15.91;60.8;20.45;0.17;0.92;3.53;1.19;3095;3095;100.0;15355;0;0.0
;11;fsi-2019;18;52447;51.22;0.05;2100;35876;35876;0;0;35876;0;0;0.0;0.0;100.0;0.0;0.0;35700;0;176;99.51;0.0;0.49;176;35876;0.49;44;132;0;0;25.0;75.0;0.0;0.0;0.12;0.37;0.0;0.0;35951;35951;100.0;179609;0;0.0
;12;fsi-2021;18;44586;43.54;0.04;180;3056;3056;0;0;3056;0;0;0.0;0.0;100.0;0.0;0.0;2880;0;176;94.24;0.0;5.76;176;3056;5.76;3;28;113;32;1.7;15.91;64.2;18.18;0.1;0.92;3.7;1.05;2946;2946;100.0;14045;0;0.0
;13;fsi-2022-download;18;58413;57.04;0.06;2992;57024;57024;0;0;57024;0;0;0.0;0.0;100.0;0.0;0.0;56848;0;176;99.69;0.0;0.31;176;57024;0.31;44;132;0;0;25.0;75.0;0.0;0.0;0.08;0.23;0.0;0.0;57093;57093;100.0;286345;1;0.0
;14;FXDCZKVBXPOBKON5ZHKWU6WCDH5BEDYV;18;39220;38.3;0.04;5;218;218;0;123;0;95;0;0.0;56.42;0.0;43.58;0.0;42;0;176;19.27;0.0;80.73;176;218;80.73;8;138;17;13;4.55;78.41;9.66;7.39;3.67;63.3;7.8;5.96;68;70;102.94;373;0;0.0
;16;I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;18;39230;38.31;0.04;16;307;335;0;0;307;0;0;0.0;0.0;100.0;0.0;0.0;131;0;176;42.67;0.0;57.33;176;307;57.33;14;160;0;2;7.95;90.91;0.0;1.14;4.56;52.12;0.0;0.65;1017;1044;102.65;7239;0;0.0
;17;IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;18;44543;43.5;0.04;113;412;375;0;66;74;272;0;0.0;16.02;17.96;66.02;0.0;236;0;176;57.28;0.0;42.72;215;412;52.18;67;100;1;47;31.16;46.51;0.47;21.86;16.26;24.27;0.24;11.41;1079;1117;103.52;6656;13;0.2
;20;sa-datasets;18;405125;395.63;0.39;1860;48566;50049;0;0;48566;0;0;0.0;0.0;100.0;0.0;0.0;48390;0;176;99.64;0.0;0.36;176;48566;0.36;127;37;10;2;72.16;21.02;5.68;1.14;0.26;0.08;0.02;0.0;153170;155205;101.33;1339700;604;0.05
;21;TEST_0;18;16194;15.81;0.02;17;237;236;2;0;235;0;0;0.84;0.0;99.16;0.0;0.0;61;0;176;25.74;0.0;74.26;178;237;75.11;2;169;0;7;1.12;94.94;0.0;3.93;0.84;71.31;0.0;2.95;1346;1331;98.89;7875;0;0.0

5_unispace;1;49833f5cf0647c2295e3b3bf11a68ec47a813414;16;517371;505.25;0.49;82;267;219;0;18;232;17;0;0.0;6.74;86.89;6.37;0.0;238;0;29;89.14;0.0;10.86;50;267;18.73;0;0;0;50;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.73;2047;2170;106.01;13838;527;3.81
;3;65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;16;45289;44.23;0.04;49;198;132;0;0;66;132;0;0.0;0.0;33.33;66.67;0.0;198;0;0;100.0;0.0;0.0;66;198;33.33;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;33.33;741;978;131.98;5434;531;9.77
;4;AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;16;2623928;2562.43;2.5;313;736;652;0;593;112;31;0;0.0;80.57;15.22;4.21;0.0;736;0;0;100.0;0.0;0.0;55;736;7.47;1;2;21;31;1.82;3.64;38.18;56.36;0.14;0.27;2.85;4.21;5528;5841;105.66;37245;549;1.47
;5;AWE3PO5E4TSOCWQPQNPZVRA44RUSABZG;16;40236;39.29;0.04;33;80;64;0;64;16;0;0;0.0;80.0;20.0;0.0;0.0;80;0;0;100.0;0.0;0.0;16;80;20.0;0;0;0;16;0.0;0.0;0.0;100.0;0.0;0.0;0.0;20.0;531;1690;318.27;4360;516;11.83
;6;CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;16;40433;39.49;0.04;77;94;90;0;0;80;14;0;0.0;0.0;85.11;14.89;0.0;94;0;0;100.0;0.0;0.0;7;94;7.45;0;0;3;4;0.0;0.0;42.86;57.14;0.0;0.0;3.19;4.26;718;835;116.3;4720;521;11.04
;7;DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;16;42898;41.89;0.04;55;175;163;0;152;21;2;0;0.0;86.86;12.0;1.14;0.0;175;0;0;100.0;0.0;0.0;12;175;6.86;0;0;0;12;0.0;0.0;0.0;100.0;0.0;0.0;0.0;6.86;1610;1819;112.98;10230;557;5.44
;8;f55a8d69c6047f9037f79225c367766987e25f2b;16;170207;166.22;0.16;37;164;113;3;19;142;0;0;1.83;11.59;86.59;0.0;0.0;129;7;28;78.66;4.27;17.07;66;164;40.24;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;40.24;724;882;121.82;5027;532;10.58
;9;f997183fa6bf1ef75e31406d98f025c16e527d20;16;10938151;10681.79;10.43;726;1903;1734;18;22;1508;355;0;0.95;1.16;79.24;18.65;0.0;1089;10;804;57.23;0.53;42.25;187;1903;9.83;0;0;10;177;0.0;0.0;5.35;94.65;0.0;0.0;0.53;9.3;10754;11183;103.99;73671;3008;4.08
;10;fsi-2010;16;44032;43.0;0.04;178;2848;2848;0;0;2848;0;0;0.0;0.0;100.0;0.0;0.0;2848;0;0;100.0;0.0;0.0;0;2848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3089;3242;104.95;15699;516;3.29
;11;fsi-2019;16;52229;51.0;0.05;2100;35700;35700;0;0;35700;0;0;0.0;0.0;100.0;0.0;0.0;35700;0;0;100.0;0.0;0.0;0;35700;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;35944;36098;100.43;179953;516;0.29
;12;fsi-2021;16;44404;43.36;0.04;180;2880;2880;0;0;2880;0;0;0.0;0.0;100.0;0.0;0.0;2880;0;0;100.0;0.0;0.0;0;2880;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2940;3093;105.2;14389;516;3.59
;13;fsi-2022-download;16;58181;56.82;0.06;2992;56848;56848;0;0;56848;0;0;0.0;0.0;100.0;0.0;0.0;56848;0;0;100.0;0.0;0.0;0;56848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;57085;57240;100.27;286689;517;0.18
;16;I532QF7XT4CGRZFQBRSA7QQMH3UCWFW7;16;39233;38.31;0.04;16;112;140;0;0;112;0;0;0.0;0.0;100.0;0.0;0.0;112;0;0;100.0;0.0;0.0;0;112;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;1009;1191;118.04;7583;516;6.8
;17;IUJCXHJGQ5XTDLV3CYTCTXLPD77RUA2P;16;43763;42.74;0.04;113;213;176;0;4;39;170;0;0.0;1.88;18.31;79.81;0.0;213;0;0;100.0;0.0;0.0;39;213;18.31;0;0;0;39;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.31;1072;1264;117.91;7000;529;7.56
;20;sa-datasets;16;404970;395.48;0.39;1860;48360;49843;0;0;48360;0;0;0.0;0.0;100.0;0.0;0.0;48360;0;0;100.0;0.0;0.0;0;48360;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;153161;155352;101.43;1340044;1120;0.08
;21;TEST_0;16;15772;15.4;0.02;17;27;26;2;0;25;0;0;7.41;0.0;92.59;0.0;0.0;27;0;0;100.0;0.0;0.0;2;27;7.41;0;1;0;1;0.0;50.0;0.0;50.0;0.0;3.7;0.0;3.7;1336;1478;110.63;8219;516;6.28

6_unicode_homoglyphs;1;49833f5cf0647c2295e3b3bf11a68ec47a813414;15;517929;505.79;0.49;82;267;219;0;18;232;17;0;0.0;6.74;86.89;6.37;0.0;238;0;29;89.14;0.0;10.86;50;267;18.73;0;0;0;50;0.0;0.0;0.0;100.0;0.0;0.0;0.0;18.73;2058;2023;98.3;13494;672;4.98
;3;65VH6VWWJJCZNGG3XTA7XAPZRAIOGYEV;15;45845;44.77;0.04;49;198;132;0;0;66;132;0;0.0;0.0;33.33;66.67;0.0;198;0;0;100.0;0.0;0.0;66;198;33.33;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;33.33;746;831;111.39;5090;676;13.28
;4;AOZ2LBQOYCC5F3KFBN3FUGN2FODM6DCU;15;2624767;2563.25;2.5;313;736;652;0;593;112;31;0;0.0;80.57;15.22;4.21;0.0;736;0;0;100.0;0.0;0.0;55;736;7.47;1;2;21;31;1.82;3.64;38.18;56.36;0.14;0.27;2.85;4.21;5532;5694;102.93;36901;694;1.88
;6;CUHGX5XRCG2IOBFKZJO73RCWRBGZTE3J;15;40968;40.01;0.04;77;94;90;0;0;80;14;0;0.0;0.0;85.11;14.89;0.0;94;0;0;100.0;0.0;0.0;7;94;7.45;0;0;3;4;0.0;0.0;42.86;57.14;0.0;0.0;3.19;4.26;725;688;94.9;4376;666;15.22
;7;DY75VBIKWAL76NRMMVFOYFQ52DB77TEI;15;43481;42.46;0.04;55;175;163;0;152;21;2;0;0.0;86.86;12.0;1.14;0.0;175;0;0;100.0;0.0;0.0;12;175;6.86;0;0;0;12;0.0;0.0;0.0;100.0;0.0;0.0;0.0;6.86;1617;1672;103.4;9886;702;7.1
;8;f55a8d69c6047f9037f79225c367766987e25f2b;15;170794;166.79;0.16;37;164;113;3;19;142;0;0;1.83;11.59;86.59;0.0;0.0;129;7;28;78.66;4.27;17.07;66;164;40.24;0;0;0;66;0.0;0.0;0.0;100.0;0.0;0.0;0.0;40.24;734;735;100.14;4683;677;14.46
;9;f997183fa6bf1ef75e31406d98f025c16e527d20;15;10938935;10682.55;10.43;726;1903;1734;18;22;1508;355;0;0.95;1.16;79.24;18.65;0.0;1089;10;804;57.23;0.53;42.25;187;1903;9.83;0;0;10;177;0.0;0.0;5.35;94.65;0.0;0.0;0.53;9.3;10762;11036;102.55;73327;3153;4.3
;10;fsi-2010;15;45005;43.95;0.04;178;2848;2848;0;0;2848;0;0;0.0;0.0;100.0;0.0;0.0;2848;0;0;100.0;0.0;0.0;0;2848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;3095;3095;100.0;15355;661;4.3
;11;fsi-2019;15;52536;51.3;0.05;2100;35700;35700;0;0;35700;0;0;0.0;0.0;100.0;0.0;0.0;35700;0;0;100.0;0.0;0.0;0;35700;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;35951;35951;100.0;179609;661;0.37
;12;fsi-2021;15;45372;44.31;0.04;180;2880;2880;0;0;2880;0;0;0.0;0.0;100.0;0.0;0.0;2880;0;0;100.0;0.0;0.0;0;2880;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;2946;2946;100.0;14045;661;4.71
;13;fsi-2022-download;15;58452;57.08;0.06;2992;56848;56848;0;0;56848;0;0;0.0;0.0;100.0;0.0;0.0;56848;0;0;100.0;0.0;0.0;0;56848;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;57093;57093;100.0;286345;662;0.23
