;Active stego-attack type;Total attack time lapse (min);Stego-file data set;Attack time for each stego-file data set (min);
;04_format_attack;5.25;stego_method_1;1.31;
;;;stego_method_2;0.0;
;;;stego_method_3;0.0;
;;;stego_method_4;1.3;
;;;stego_method_5;0.59;
;;;stego_method_6;1.23;
