;Active stego-attack type;Total attack time lapse (min);Stego-file data set;Attack time for each stego-file data set (min);
;01_insert_attack;0.53;stego_method_1;0.15;
;;;stego_method_2;0.0;
;;;stego_method_3;0.0;
;;;stego_method_4;0.14;
;;;stego_method_5;0.09;
;;;stego_method_6;0.13;
